State,Postcode,Vehicle Type,Fuel Type,2013-01-31,2014-01-31,2015-01-31,2016-01-31,2017-01-31,2018-01-31,2019-01-31,2020-01-31,2021-01-31
NT,0800,Light Commercial,Diesel,1303.0,1384.0,1413.0,1428.0,1633.0,1615.0,1565.0,1348.0,1478.0
NT,0800,Passenger,Diesel,957.0,1037.0,936.0,1010.0,1148.0,1289.0,1312.0,1109.0,1021.0
NT,0801,Light Commercial,Diesel,40.0,46.0,39.0,40.0,45.0,56.0,74.0,68.0,6.0
NT,0801,Passenger,Diesel,17.0,33.0,31.0,36.0,32.0,33.0,42.0,29.0,0.0
NT,0802,Light Commercial,Diesel,0.0,0.0,3.0,5.0,3.0,4.0,6.0,3.0,0.0
NT,0802,Passenger,Diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NT,0804,Light Commercial,Diesel,45.0,48.0,4.0,4.0,5.0,3.0,0.0,3.0,0.0
NT,0804,Passenger,Diesel,8.0,7.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
NT,0810,Light Commercial,Diesel,1984.0,2275.0,2473.0,2746.0,2838.0,3044.0,3058.0,3186.0,3310.0
NT,0810,Passenger,Diesel,1446.0,1563.0,1782.0,1903.0,2031.0,2273.0,2291.0,2383.0,2538.0
NT,0811,Light Commercial,Diesel,5.0,10.0,12.0,8.0,8.0,3.0,3.0,13.0,0.0
NT,0811,Passenger,Diesel,6.0,7.0,10.0,5.0,7.0,7.0,5.0,7.0,0.0
NT,0812,Light Commercial,Diesel,1306.0,1428.0,1637.0,1750.0,1738.0,1765.0,1799.0,1868.0,1959.0
NT,0812,Passenger,Diesel,822.0,962.0,1010.0,1101.0,1160.0,1239.0,1247.0,1317.0,1374.0
NT,0813,Light Commercial,Diesel,5.0,6.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
NT,0813,Passenger,Diesel,5.0,3.0,4.0,0.0,3.0,3.0,0.0,3.0,0.0
NT,0814,Light Commercial,Diesel,6.0,4.0,5.0,5.0,4.0,5.0,4.0,6.0,0.0
NT,0814,Passenger,Diesel,3.0,3.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0
NT,0815,Light Commercial,Diesel,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NT,0815,Passenger,Diesel,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0
NT,0820,Light Commercial,Diesel,3362.0,3843.0,4099.0,4184.0,4136.0,4354.0,4570.0,4817.0,4806.0
NT,0820,Passenger,Diesel,2252.0,2324.0,2422.0,2437.0,2333.0,2564.0,2694.0,2953.0,2952.0
NT,0821,Light Commercial,Diesel,100.0,158.0,211.0,225.0,242.0,160.0,155.0,135.0,91.0
NT,0821,Passenger,Diesel,37.0,77.0,60.0,53.0,43.0,44.0,42.0,39.0,24.0
NT,0822,Light Commercial,Diesel,833.0,931.0,1101.0,1208.0,1295.0,1368.0,1900.0,1898.0,2320.0
NT,0822,Passenger,Diesel,492.0,517.0,577.0,644.0,715.0,817.0,941.0,1018.0,1239.0
NT,0823,Light Commercial,Diesel,4.0,6.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0
NT,0823,Passenger,Diesel,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NT,0825,Light Commercial,Diesel,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
NT,0825,Passenger,Diesel,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NT,0826,Light Commercial,Diesel,0.0,3.0,3.0,5.0,7.0,9.0,0.0,0.0,0.0
NT,0826,Passenger,Diesel,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
