Vehicle Type,State,Postcode,Fuel Type,2021-01-31,2022-01-31,2023-01-31
Passenger,NSW,0810,Petrol,3.0,4.0,3.0
Passenger,NSW,0810,Diesel,0.0,0.0,0.0
Passenger,NSW,0812,Petrol,3.0,0.0,6.0
Passenger,NSW,0812,Diesel,0.0,0.0,0.0
Passenger,NSW,0820,Petrol,4.0,8.0,4.0
Passenger,NSW,0820,Hybrid electric,0.0,3.0,0.0
Passenger,NSW,0821,Diesel,0.0,3.0,3.0
Passenger,NSW,0822,Petrol,0.0,3.0,3.0
Passenger,NSW,0828,Diesel,3.0,0.0,0.0
Passenger,NSW,0830,Petrol,0.0,4.0,0.0
Passenger,NSW,0830,Diesel,3.0,0.0,0.0
Passenger,NSW,0832,Petrol,3.0,0.0,3.0
Passenger,NSW,0832,Diesel,0.0,0.0,0.0
Passenger,NSW,0836,Petrol,0.0,0.0,4.0
Passenger,NSW,0839,Petrol,3.0,3.0,0.0
Passenger,NSW,0839,Diesel,3.0,0.0,0.0
Passenger,NSW,0841,Petrol,0.0,0.0,0.0
Passenger,NSW,0850,Petrol,6.0,3.0,0.0
Passenger,NSW,0852,Petrol,0.0,3.0,0.0
Passenger,NSW,0853,Petrol,0.0,0.0,3.0
Passenger,NSW,0854,Petrol,0.0,3.0,3.0
Passenger,NSW,0854,Diesel,3.0,0.0,0.0
Passenger,NSW,0862,Diesel,0.0,3.0,0.0
Passenger,NSW,0870,Petrol,3.0,8.0,9.0
Passenger,NSW,0870,Diesel,3.0,0.0,0.0
Passenger,NSW,0872,Petrol,3.0,3.0,0.0
Passenger,NSW,0875,Petrol,0.0,3.0,3.0
Passenger,NSW,0880,Petrol,3.0,3.0,3.0
Passenger,NSW,0885,Diesel,3.0,0.0,3.0
Passenger,NSW,1100,Petrol,0.0,3.0,0.0
Passenger,NSW,1335,Petrol,4.0,4.0,3.0
Passenger,NSW,1355,Petrol,38.0,36.0,34.0
Passenger,NSW,1355,Diesel,12.0,13.0,12.0
Passenger,NSW,1355,Hybrid electric,0.0,3.0,0.0
Passenger,NSW,1360,Petrol,3.0,3.0,0.0
Passenger,NSW,1470,Petrol,3.0,0.0,0.0
Passenger,NSW,1470,Diesel,0.0,0.0,0.0
Passenger,NSW,1490,Petrol,3.0,3.0,3.0
Passenger,NSW,1490,Diesel,4.0,4.0,4.0
Passenger,NSW,1495,Petrol,0.0,3.0,0.0
Passenger,NSW,1635,Diesel,0.0,0.0,3.0
Passenger,NSW,1670,Petrol,7.0,10.0,9.0
Passenger,NSW,1670,Diesel,3.0,4.0,3.0
Passenger,NSW,1671,Petrol,14.0,12.0,12.0
Passenger,NSW,1730,Petrol,20.0,18.0,11.0
Passenger,NSW,1730,Diesel,3.0,3.0,0.0
Passenger,NSW,1730,Hybrid electric,0.0,3.0,0.0
Passenger,NSW,1871,Petrol,5.0,3.0,3.0
Passenger,NSW,1875,Petrol,6.0,4.0,4.0
Passenger,NSW,1885,Petrol,0.0,3.0,0.0
Passenger,NSW,1891,Petrol,3.0,3.0,5.0
Passenger,NSW,1891,Diesel,0.0,3.0,3.0
Passenger,NSW,2000,Petrol,13854.0,14397.0,14096.0
Passenger,NSW,2000,Diesel,3274.0,3070.0,3111.0
Passenger,NSW,2000,Dual fuel,10.0,8.0,12.0
