State,Vehicle Type,Fuel Type,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
ACT,Light Commercial,Diesel,2300.0,2498.0,2377.3333333333335,2437.0,2576.0,2800.0,2550.6666666666665,2537.0,2644.0,2598.0,2481.333333333333,2361.0,1824.0,1864.0,1930.6666666666665
ACT,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.666666666666667
ACT,Light Commercial,Petrol,224.0,310.0,277.3333333333333,298.0,260.0,232.0,242.66666666666666,245.0,312.0,270.0,321.33333333333337,358.0,288.0,282.0,342.6666666666667
ACT,Passenger,Diesel,108.0,94.0,105.33333333333334,96.0,116.0,142.0,124.0,120.0,156.0,128.0,150.66666666666666,159.0,228.0,204.0,206.66666666666666
ACT,Passenger,Electric,0.0,0.0,64.0,64.0,92.0,112.0,106.66666666666667,91.0,844.0,586.0,730.6666666666666,607.0,1820.0,1502.0,1352.0
ACT,Passenger,Hybrid,972.0,820.0,820.0,758.0,668.0,590.0,570.6666666666667,532.0,552.0,510.0,441.33333333333337,479.0,224.0,274.0,378.6666666666667
ACT,Passenger,PHEV,0.0,0.0,41.333333333333336,43.0,36.0,38.0,30.666666666666664,24.0,12.0,32.0,45.33333333333333,49.0,8.0,4.0,8.0
ACT,Passenger,Petrol,9100.0,7398.0,6477.333333333334,5936.0,4280.0,4152.0,3622.666666666667,3490.0,2948.0,2894.0,2801.3333333333335,2675.0,2856.0,2846.0,2738.666666666667
ACT,SUV,Diesel,1644.0,1530.0,1442.6666666666667,1456.0,1316.0,1436.0,1354.6666666666665,1371.0,1464.0,1642.0,1565.3333333333335,1563.0,1296.0,1222.0,1260.0
ACT,SUV,Electric,0.0,0.0,44.0,53.0,80.0,110.0,98.66666666666666,122.0,232.0,240.0,525.3333333333334,673.0,1528.0,2120.0,2121.333333333333
ACT,SUV,Hybrid,760.0,652.0,805.3333333333334,809.0,840.0,942.0,877.3333333333334,843.0,1088.0,1032.0,990.6666666666667,1045.0,888.0,1064.0,1396.0
ACT,SUV,PHEV,0.0,0.0,81.33333333333333,77.0,64.0,84.0,104.0,112.0,144.0,168.0,173.33333333333334,173.0,200.0,274.0,398.66666666666663
ACT,SUV,Petrol,9884.0,8270.0,7661.333333333334,7486.0,6964.0,7140.0,6437.333333333334,6339.0,5864.0,6028.0,5897.333333333334,5900.0,6336.0,6270.0,6360.0
NSW,Light Commercial,Diesel,52932.0,54060.0,51960.0,55725.0,67012.0,73288.0,68946.66666666667,68018.0,68884.0,69546.0,69152.0,67256.0,61632.0,65044.0,65576.0
NSW,Light Commercial,Electric,0.0,0.0,9.333333333333334,7.0,28.0,24.0,21.333333333333332,18.0,12.0,22.0,22.666666666666664,22.0,24.0,62.0,65.33333333333334
NSW,Light Commercial,Petrol,4280.0,5142.0,5125.333333333333,5407.0,6076.0,5926.0,5861.333333333334,5954.0,6020.0,6540.0,7176.0,7854.0,7276.0,7524.0,8368.0
NSW,Passenger,Diesel,2284.0,1910.0,1958.6666666666667,1890.0,3032.0,2922.0,2650.6666666666665,2515.0,3252.0,3340.0,3558.6666666666665,3421.0,4396.0,4284.0,4478.666666666667
NSW,Passenger,Electric,0.0,0.0,220.0,226.0,508.0,472.0,438.6666666666667,436.0,7184.0,4478.0,5217.333333333333,4717.0,13572.0,10408.0,9466.666666666668
NSW,Passenger,Hybrid,8848.0,8058.0,8493.333333333334,9229.0,9800.0,9926.0,9836.0,9500.0,9104.0,9654.0,9492.0,9513.0,5600.0,6558.0,9465.333333333334
NSW,Passenger,PHEV,0.0,0.0,109.33333333333333,131.0,92.0,122.0,106.66666666666667,113.0,112.0,122.0,133.33333333333331,126.0,120.0,168.0,173.33333333333334
