,State,Vehicle Type,Fuel Type,2020-09,2020-12,2021-03,2021-06,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09
0,ACT,Light Commercial,Diesel,190.0,227.0,251.0,252.0,226.0,219.0,171.0,162.0,193.0,178.0
1,ACT,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2,ACT,Light Commercial,Petrol,18.0,30.0,21.0,20.0,18.0,45.0,36.0,36.0,30.0,42.0
3,ACT,Passenger,Diesel,8.0,4.0,16.0,16.0,10.0,16.0,14.0,13.0,22.0,24.0
4,ACT,Passenger,Electric,3.0,6.0,13.0,15.0,47.0,93.0,18.0,97.0,85.0,148.0
5,ACT,Passenger,Hybrid,59.0,64.0,76.0,30.0,66.0,9.0,41.0,21.0,21.0,65.0
6,ACT,Passenger,PHEV,5.0,5.0,3.0,6.0,8.0,13.0,8.0,1.0,0.0,1.0
7,ACT,Passenger,Petrol,398.0,376.0,346.0,395.0,276.0,198.0,190.0,271.0,292.0,194.0
8,ACT,SUV,Diesel,105.0,130.0,127.0,151.0,171.0,102.0,97.0,114.0,115.0,105.0
9,ACT,SUV,Electric,2.0,6.0,7.0,20.0,24.0,209.0,125.0,210.0,281.0,173.0
10,ACT,SUV,Hybrid,38.0,68.0,78.0,75.0,70.0,50.0,85.0,67.0,119.0,211.0
11,ACT,SUV,PHEV,1.0,6.0,4.0,12.0,14.0,11.0,13.0,15.0,24.0,70.0
12,ACT,SUV,Petrol,541.0,588.0,707.0,665.0,538.0,516.0,442.0,552.0,663.0,577.0
15,NSW,Light Commercial,Diesel,4638.0,5874.0,6510.0,7339.0,6423.0,5866.0,4937.0,5507.0,6850.0,5888.0
16,NSW,Light Commercial,Electric,0.0,0.0,1.0,2.0,6.0,3.0,2.0,1.0,14.0,6.0
17,NSW,Light Commercial,Petrol,475.0,512.0,600.0,581.0,703.0,844.0,708.0,707.0,935.0,881.0
18,NSW,Passenger,Diesel,164.0,116.0,341.0,189.0,404.0,358.0,275.0,319.0,531.0,533.0
19,NSW,Passenger,Electric,23.0,15.0,79.0,40.0,202.0,572.0,213.0,554.0,611.0,1022.0
20,NSW,Passenger,Hybrid,864.0,961.0,944.0,761.0,750.0,495.0,516.0,545.0,574.0,1495.0
21,NSW,Passenger,PHEV,10.0,14.0,9.0,13.0,14.0,5.0,7.0,15.0,23.0,20.0
22,NSW,Passenger,Petrol,6705.0,5626.0,6237.0,6887.0,5117.0,3943.0,2899.0,4138.0,4817.0,4139.0
