Australian Bureau of Statistics

"2021 Census - employment, income and education"
"POA (UR) by AGE5P Age in Five Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE5P Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"POA (UR)",
"2000, NSW",694,423,302,610,3429,5634,5050,3374,2060,1327,1071,1044,833,725,585,390,233,113,48,10,0,27936,
"2007, NSW",219,172,99,265,1261,1468,1183,778,502,327,276,218,169,177,113,61,56,36,17,4,0,7410,
"2008, NSW",213,120,83,480,2662,2293,1566,840,540,364,322,260,245,168,127,72,29,12,3,3,0,10400,
"2009, NSW",612,379,308,296,708,1448,1750,1599,1113,794,686,679,643,577,511,301,154,71,22,6,0,12658,
"2010, NSW",609,435,385,369,1987,4133,4296,3027,2214,1745,1676,1483,1227,912,740,516,352,212,94,28,0,26443,
"2011, NSW",350,217,204,246,998,2344,2862,2034,1428,1272,1171,1053,1069,858,794,544,329,222,144,46,6,18187,
"2015, NSW",578,426,303,236,727,1773,1868,1440,1021,812,649,486,398,295,196,125,53,36,9,4,0,11422,
"2016, NSW",453,345,271,257,1072,1833,1749,1321,965,813,834,753,645,529,446,291,273,144,61,11,0,13072,
"2017, NSW",1252,618,424,564,3481,5731,5455,3381,1877,1204,1060,947,828,707,582,352,281,173,45,14,0,29003,
"2018, NSW",1150,785,701,789,1660,2402,2509,1913,1353,1158,1078,946,779,707,652,540,420,218,92,22,6,19878,
"2019, NSW",938,828,777,690,769,1013,1278,1251,1053,1047,861,766,609,498,429,276,220,100,50,11,0,13467,
"2020, NSW",1138,799,599,702,2876,4102,3306,2014,1237,973,821,744,652,544,371,302,218,132,38,19,0,21591,
"2021, NSW",714,630,606,536,931,1757,1533,1324,1081,1039,1011,868,679,577,609,467,304,163,79,29,0,14946,
"2022, NSW",666,632,652,471,778,1569,1646,1187,1033,850,779,615,593,514,537,395,296,173,102,32,3,13509,
"2023, NSW",509,598,721,690,557,776,820,766,679,702,711,633,623,524,557,353,199,111,48,23,0,10590,
"2024, NSW",631,695,728,617,452,892,1013,903,861,860,770,692,511,403,408,298,242,192,140,60,5,11380,
"2025, NSW",357,390,361,294,351,552,590,517,465,422,460,407,360,350,438,323,262,163,90,31,0,7189,
"2026, NSW",1858,1409,1404,1143,1519,4409,5256,3553,2400,2110,1817,1318,1179,860,929,599,484,265,148,34,0,32693,
"2027, NSW",281,287,280,262,350,602,657,569,479,429,451,468,488,473,555,506,323,173,105,50,10,7810,
"2028, NSW",242,183,159,139,286,494,513,374,291,265,248,224,263,225,307,203,160,85,48,12,5,4709,
"2029, NSW",514,535,571,486,522,633,796,785,667,722,607,608,466,431,509,420,291,198,109,46,5,9911,
"2030, NSW",664,920,1173,1119,837,616,644,748,949,1176,1144,969,859,733,656,487,329,234,137,54,3,14434,
"2031, NSW",1873,1724,1642,1511,1984,3513,3723,3041,2451,2304,2081,1699,1515,1241,1126,867,635,441,310,105,33,33830,
"2032, NSW",622,661,698,735,1717,1621,1254,1024,905,891,801,757,647,614,510,429,356,241,130,23,4,14643,
"2033, NSW",499,496,446,754,1777,1381,1127,911,757,639,585,551,468,361,355,285,241,182,88,18,7,11927,
"2034, NSW",1041,1026,1001,874,1035,2292,2349,1861,1473,1326,1316,1131,929,771,694,492,326,199,83,19,3,20249,
"2035, NSW",1784,1864,1974,1784,1999,2417,2767,2621,2571,2404,2258,2095,1825,1593,1441,1232,940,609,323,83,6,34602,
"2036, NSW",1886,1934,1909,1751,2163,2331,2598,2512,2428,2426,2209,2146,1803,1606,1472,1123,731,425,230,57,15,33767,
"2037, NSW",673,582,509,557,1596,1987,1829,1551,1176,1048,956,950,911,771,698,436,245,113,52,6,0,16641,
"2038, NSW",487,551,479,404,545,789,860,803,776,763,684,563,490,417,396,209,134,94,29,12,0,9487,
"2039, NSW",556,490,423,325,339,549,741,825,785,719,634,553,418,442,357,228,104,40,15,3,0,8553,
"2040, NSW",1505,1503,1378,1042,1103,1525,1751,2031,2005,1944,1660,1321,1059,905,774,513,343,262,127,42,0,22803,
"2041, NSW",870,874,890,694,565,759,1056,1189,1270,1297,1257,1143,967,886,821,572,262,138,47,13,0,15584,
