Australian Bureau of Statistics

"2021 Census - employment, income and education"
"POA (UR) by 1-digit level DTWP Distance to Work (ranges)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level DTWP Distance to Work (ranges)","Nil distance","Over 0 km to less than 2.5 km","2.5 km to less than 10 km","10 km to less than 30 km","30 km to less than 50 km","50 km to less than 250 km","250 km and over","Total",
"POA (UR)",
"2000, NSW",1002,7303,4109,2110,336,128,149,15144,
"2007, NSW",173,1431,1489,522,119,24,62,3822,
"2008, NSW",358,1676,2488,864,106,53,75,5613,
"2009, NSW",469,2092,3207,952,149,55,78,7001,
"2010, NSW",1274,5372,7431,1863,295,120,281,16634,
"2011, NSW",916,2806,5575,1108,165,109,236,10905,
"2015, NSW",506,1107,4435,1254,146,79,93,7631,
"2016, NSW",536,1469,3847,1051,139,72,105,7221,
"2017, NSW",907,2233,10036,2420,418,167,191,16372,
"2018, NSW",558,1313,6072,1651,246,78,101,10017,
"2019, NSW",393,782,2951,2554,185,66,78,7007,
"2020, NSW",503,1867,6507,2525,328,66,85,11889,
"2021, NSW",983,1445,5111,883,155,80,141,8807,
"2022, NSW",702,1000,3911,1128,155,55,75,7030,
"2023, NSW",766,788,2764,791,121,47,93,5366,
"2024, NSW",726,659,3266,912,141,52,88,5841,
"2025, NSW",515,500,2052,398,45,39,69,3616,
"2026, NSW",2095,2238,9607,3654,423,145,295,18450,
"2027, NSW",509,563,2210,439,90,44,85,3940,
"2028, NSW",351,369,1448,264,52,20,38,2538,
"2029, NSW",615,623,2463,935,136,44,79,4890,
"2030, NSW",1051,639,2390,2055,237,80,87,6539,
"2031, NSW",1680,2922,10225,2839,415,149,235,18463,
"2032, NSW",445,1297,3664,945,149,50,64,6609,
"2033, NSW",441,838,3406,828,146,64,99,5828,
"2034, NSW",1038,1285,6036,2193,363,105,169,11181,
"2035, NSW",1383,1624,7101,5250,495,149,163,16165,
"2036, NSW",1075,1717,5747,5450,557,177,136,14856,
"2037, NSW",789,1822,4630,1215,133,89,144,8816,
"2038, NSW",543,610,2754,1113,108,50,75,5242,
"2039, NSW",534,451,2714,944,84,46,62,4843,
"2040, NSW",1171,1167,6382,2923,234,84,147,12116,
"2041, NSW",1030,764,4413,1632,153,65,117,8170,
"2042, NSW",909,1599,6162,2457,230,119,173,11641,
"2043, NSW",443,692,4120,1124,109,46,93,6624,
"2044, NSW",343,376,2525,1325,114,33,42,4752,
"2045, NSW",346,293,1411,932,86,9,18,3091,
"2046, NSW",1283,1181,4977,5389,330,99,109,13363,
"2047, NSW",573,475,3263,1628,187,47,68,6238,
"2048, NSW",363,600,2442,909,82,35,48,4478,
"2049, NSW",565,601,3866,1702,135,42,58,6964,
"2050, NSW",419,1126,3067,955,111,50,141,5867,
"2060, NSW",778,1667,4439,1500,256,109,131,8870,
"2061, NSW",348,387,1851,601,111,42,60,3399,
"2062, NSW",421,622,1986,751,75,28,40,3921,
"2063, NSW",412,187,1513,635,71,21,40,2870,
"2064, NSW",306,661,2241,1413,77,29,36,4763,
"2065, NSW",1540,3682,9287,3567,382,162,246,18869,
"2066, NSW",1558,1418,6497,7875,268,133,185,17931,
"2067, NSW",1020,2150,3542,5485,190,84,107,12571,
"2068, NSW",986,938,3736,2314,145,60,124,8300,
"2069, NSW",859,622,1847,3279,108,58,73,6843,
"2070, NSW",776,448,1891,3343,102,53,74,6692,
"2071, NSW",779,331,1554,3119,133,57,66,6025,
"2072, NSW",457,296,961,2316,109,38,51,4223,
"2073, NSW",1051,562,1938,4321,182,110,95,8249,
"2074, NSW",1364,625,2307,5742,231,175,125,10573,
"2075, NSW",1303,590,1799,5377,285,93,108,9555,
"2076, NSW",1321,918,2061,6292,446,197,145,11381,
"2077, NSW",1343,2733,3281,11746,1527,328,147,21104,
"2079, NSW",321,208,1027,1692,685,51,24,4020,
"2080, NSW",75,34,181,336,191,12,7,842,
"2081, NSW",243,153,215,1076,975,57,18,2745,
"2082, NSW",218,222,159,1009,937,76,43,2662,
"2083, NSW",110,65,31,127,266,178,4,779,
