Australian Bureau of Statistics

"2021 Census - employment, income and education"
"POA (UR) by 1-digit level HEAP Level of Highest Educational Attainment"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level HEAP Level of Highest Educational Attainment","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Total",
"POA (UR)",
"2000, NSW",3813,489,8530,3814,1137,4761,16,397,22949,
"2007, NSW",1134,134,2165,722,347,1426,0,163,6088,
"2008, NSW",1731,228,3450,752,404,2265,0,97,8926,
"2009, NSW",1872,346,3673,1162,712,2007,12,223,9993,
"2010, NSW",4003,796,9068,2185,1402,4145,6,454,22052,
"2011, NSW",2753,594,5856,1643,1088,2742,8,264,14953,
"2015, NSW",1623,355,3689,947,739,1731,0,169,9259,
"2016, NSW",1715,352,3823,1016,774,2242,8,429,10357,
"2017, NSW",4296,633,8758,2357,1914,5042,8,571,23576,
"2018, NSW",2110,316,4447,1602,1646,4061,5,1019,15208,
"2019, NSW",852,213,2271,1174,1607,2972,5,575,9670,
"2020, NSW",2500,288,5397,2169,1677,4249,7,646,16944,
"2021, NSW",2280,437,5080,1031,579,2176,8,247,11835,
"2022, NSW",1578,310,3986,1017,858,2117,4,281,10151,
"2023, NSW",1331,262,3202,777,402,1828,0,223,8027,
"2024, NSW",1352,277,3160,818,629,1625,3,294,8168,
"2025, NSW",1042,188,2311,474,253,1046,0,139,5456,
"2026, NSW",3846,729,10482,2548,1866,4856,3,583,24918,
"2027, NSW",1078,211,2459,605,294,1372,0,135,6149,
"2028, NSW",660,128,1585,335,165,810,0,77,3757,
"2029, NSW",999,264,2687,851,526,1763,3,247,7341,
"2030, NSW",1529,319,3929,1012,594,2803,0,385,10574,
"2031, NSW",4403,897,9468,2390,2217,5480,3,836,25691,
"2032, NSW",1887,259,3202,1042,994,3183,5,685,11253,
"2033, NSW",1500,233,2939,883,719,2800,3,284,9359,
"2034, NSW",2485,561,5614,1575,1465,3265,4,512,15478,
"2035, NSW",3378,701,7316,2803,2942,6954,18,1672,25793,
