Australian Bureau of Statistics

"2021 Census - employment, income and education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"INCP Total Personal Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)","Total",
"POA (UR)",
"2000, NSW",2364,326,584,1042,1522,2121,2201,2444,2392,1555,1252,1031,2312,745,2059,23958,
"2007, NSW",787,117,241,392,455,676,566,544,634,430,311,252,524,166,220,6310,
"2008, NSW",1421,258,323,483,478,685,659,672,778,664,557,474,947,243,439,9077,
"2009, NSW",783,154,274,421,442,591,650,767,941,808,739,637,1443,498,1243,10386,
"2010, NSW",898,258,510,982,1106,1158,1262,1541,1942,1779,1793,1509,3675,1198,3049,22660,
"2011, NSW",619,178,283,560,680,726,799,997,1363,1297,1250,1144,2530,795,2201,15425,
"2015, NSW",427,124,192,266,288,407,428,620,812,892,863,789,1909,538,968,9518,
"2016, NSW",541,160,419,779,894,615,583,696,927,816,806,657,1545,464,935,10832,
"2017, NSW",2341,388,797,1252,1259,1123,1246,1645,2405,2289,2112,1745,3599,856,1356,24420,
"2018, NSW",1576,396,706,1133,1063,1008,990,1231,1548,1315,1255,914,1806,420,630,15988,
"2019, NSW",836,267,347,530,538,505,592,737,1026,924,874,717,1400,335,446,10060,
"2020, NSW",1870,336,550,877,953,1183,1293,1775,2103,1558,1373,1057,1828,372,536,17668,
"2021, NSW",748,200,245,343,434,549,544,675,911,868,891,833,1814,635,2485,12195,
"2022, NSW",738,232,277,375,453,527,632,733,1008,818,751,663,1410,514,1467,10592,
"2023, NSW",840,234,217,235,244,311,327,410,603,525,521,517,1117,464,1673,8252,
"2024, NSW",646,247,257,312,334,381,381,447,606,576,644,516,1203,423,1485,8447,
"2025, NSW",413,132,146,174,215,268,240,283,378,335,372,382,795,288,1176,5607,
"2026, NSW",1542,499,633,848,961,1155,1392,1685,2184,1937,2038,1816,3972,1328,3826,25823,
"2027, NSW",443,117,125,174,217,231,284,333,444,434,424,396,914,378,1443,6358,
"2028, NSW",259,78,83,136,148,140,170,211,252,260,306,277,611,223,720,3877,
"2029, NSW",656,193,200,298,310,395,397,459,532,573,584,465,1018,352,1177,7615,
"2030, NSW",1307,359,374,375,405,427,448,592,774,610,658,563,1180,512,2255,10831,
"2031, NSW",1817,717,796,1021,1102,1412,1405,1593,2275,2130,2269,1859,3892,1199,2994,26485,
"2032, NSW",1361,407,527,922,873,964,805,880,1062,788,736,583,977,291,571,11754,
"2033, NSW",1177,299,451,577,569,672,558,696,857,717,634,547,997,286,642,9676,
"2034, NSW",1002,384,498,695,722,708,733,965,1279,1273,1259,1150,2538,817,1983,16002,
"2035, NSW",2474,826,1102,1833,1863,1628,1610,1958,2412,2024,1863,1475,2962,870,2022,26927,
"2036, NSW",2379,744,1121,1779,1818,1684,1609,1875,2393,1917,1781,1313,2502,649,1255,24823,
"2037, NSW",1020,318,599,822,919,886,746,817,1108,1020,980,810,1780,533,1427,13778,
"2038, NSW",470,200,201,277,345,370,403,426,560,526,502,453,1168,369,1070,7338,
"2039, NSW",462,170,166,198,259,289,289,330,538,417,443,444,1116,431,1247,6791,
"2040, NSW",1231,493,555,914,957,853,815,982,1261,1206,1296,1094,2631,899,2163,17356,
"2041, NSW",890,307,334,467,591,554,524,604,796,773,766,693,1661,681,2647,12285,
"2042, NSW",805,304,530,775,810,887,972,1061,1497,1352,1336,1098,2446,674,1281,15822,
"2043, NSW",391,111,148,212,228,282,313,413,614,697,836,742,1796,509,923,8216,
"2044, NSW",422,139,196,404,382,390,366,466,598,592,570,452,1069,255,392,6695,
"2045, NSW",498,224,202,362,348,318,285,283,331,292,305,250,554,170,653,5076,
"2046, NSW",1747,623,813,1287,1424,1223,1154,1311,1679,1473,1520,1279,2769,901,2010,21209,
"2047, NSW",665,279,284,407,435,495,526,549,721,684,701,608,1365,512,1293,9526,
"2048, NSW",388,151,199,300,307,337,391,426,544,515,490,410,879,275,650,6258,
"2049, NSW",649,224,327,581,496,558,585,616,845,833,816,669,1467,403,806,9862,
"2050, NSW",565,263,388,478,367,408,398,470,579,624,646,563,1298,340,687,8062,
"2060, NSW",878,266,239,344,415,575,560,698,1019,1025,1003,884,2196,720,1861,12666,
"2061, NSW",348,97,135,213,212,218,207,232,301,338,403,317,901,321,993,5238,
"2062, NSW",365,146,140,187,166,248,236,278,398,420,424,342,868,339,999,5554,
"2063, NSW",579,217,163,154,211,221,218,223,317,246,279,250,487,185,1121,4872,
"2064, NSW",667,274,215,353,362,418,369,445,584,520,485,417,1065,303,707,7180,
"2065, NSW",1751,604,609,839,891,1035,1076,1413,1944,1968,2073,1812,4613,1546,3700,25877,
"2066, NSW",2337,841,814,1024,1119,1161,1214,1509,2043,1920,1889,1642,3790,1283,3595,26181,
"2067, NSW",2945,731,941,1171,1171,1296,1253,1470,1773,1359,1258,1019,2423,738,1696,21245,
"2068, NSW",1427,529,543,637,630,675,584,738,870,742,714,646,1521,572,2380,13204,
"2069, NSW",1333,483,457,466,495,554,529,620,792,684,656,538,1234,472,1889,11197,
"2070, NSW",1408,479,473,481,528,561,560,614,754,726,714,583,1272,474,1621,11236,
"2071, NSW",1496,448,445,484,444,572,543,600,751,619,613,509,1175,457,1377,10536,
"2072, NSW",956,301,298,297,283,361,374,420,523,444,462,358,858,249,737,6928,
"2073, NSW",1637,607,557,586,527,591,646,715,917,734,779,630,1609,653,1990,13182,
"2074, NSW",2208,774,794,832,964,1056,995,1055,1269,1021,1035,907,2059,869,2453,18283,
"2075, NSW",2067,677,786,873,775,898,868,956,1137,954,1004,831,1849,720,2127,16514,
"2076, NSW",2448,907,898,993,1012,1120,1112,1118,1340,1128,1132,929,2236,774,2287,19426,
"2077, NSW",3725,1156,1513,1835,1943,2115,2195,2545,3070,2457,2207,1843,4018,955,1300,32868,
"2079, NSW",592,248,269,321,340,361,391,432,565,502,451,377,732,185,308,6078,
"2080, NSW",138,53,75,77,84,78,83,105,118,103,85,80,161,34,66,1340,
"2081, NSW",391,206,180,217,253,287,269,298,334,305,276,247,514,154,228,4165,
